RepaymentID,LoanID,CustomerID,AccountID,BranchID,DateKey,ScheduledPaymentDate,ActualPaymentDate,ExpectedAmount,AmountPaid,PaymentStatus,PaymentBehaviour,ConsecutiveMissedPayments,DaysPastDue,OutstandingPrincipal
57,13,100000195,307,37,20260604,2026-06-04,2026-06-04,191687.42,191687.42,Paid,Good Payer,0,0,1548172.1800000002
58,15,100000222,344,71,20250726,2025-07-26,2025-07-26,1067007.85,1067007.85,Paid,Good Payer,0,0,13619599.49
59,15,100000222,344,71,20250826,2025-08-26,2025-08-26,1067007.85,1067007.85,Paid,Good Payer,0,0,12552591.64
60,15,100000222,344,71,20250926,2025-09-26,2025-09-26,1067007.85,1067007.85,Paid,Good Payer,0,0,11485583.790000001
61,15,100000222,344,71,20251026,2025-10-26,2025-10-26,1067007.85,1067007.85,Paid,Good Payer,0,0,10418575.940000001
62,15,100000222,344,71,20251126,2025-11-26,2025-11-26,1067007.85,1067007.85,Paid,Good Payer,0,0,9351568.090000002
63,15,100000222,344,71,20251226,2025-12-26,2025-12-26,1067007.85,1067007.85,Paid,Good Payer,0,0,8284560.240000002
64,15,100000222,344,71,20260126,2026-01-26,2026-01-26,1067007.85,1067007.85,Paid,Good Payer,0,0,7217552.390000002
65,15,100000222,344,71,20260226,2026-02-26,2026-02-26,1067007.85,1067007.85,Paid,Good Payer,0,0,6150544.540000003
66,15,100000222,344,71,20260326,2026-03-26,2026-03-31,1067007.85,1067007.85,Late,Good Payer,0,5,5083536.690000003
67,15,100000222,344,71,20260426,2026-04-26,2026-04-26,1067007.85,1067007.85,Paid,Good Payer,0,0,4016528.840000003
68,15,100000222,344,71,20260526,2026-05-26,2026-05-26,1067007.85,1067007.85,Paid,Good Payer,0,0,2949520.990000003
69,15,100000222,344,71,20260626,2026-06-26,2026-06-26,1067007.85,1067007.85,Paid,Good Payer,0,0,1882513.140000003
70,17,100000248,383,145,20260622,2026-06-22,2026-06-22,570381.5,570381.5,Paid,Average Payer,0,0,9932783.44
71,19,100000273,422,126,20241201,2024-12-01,2024-12-01,1481493.53,1481493.53,Paid,Good Payer,0,0,51429422.26
72,19,100000273,422,126,20250101,2025-01-01,2025-01-01,1481493.53,1481493.53,Paid,Good Payer,0,0,49947928.73
73,19,100000273,422,126,20250201,2025-02-01,2025-02-12,1481493.53,1481493.53,Late,Good Payer,0,11,48466435.199999996
74,19,100000273,422,126,20250301,2025-03-01,2025-03-01,1481493.53,1481493.53,Paid,Good Payer,0,0,46984941.669999994
75,19,100000273,422,126,20250401,2025-04-01,2025-04-01,1481493.53,1481493.53,Paid,Good Payer,0,0,45503448.13999999
76,19,100000273,422,126,20250501,2025-05-01,2025-05-01,1481493.53,1481493.53,Paid,Good Payer,0,0,44021954.60999999
77,19,100000273,422,126,20250601,2025-06-01,2025-06-01,1481493.53,1481493.53,Paid,Good Payer,0,0,42540461.07999999
78,19,100000273,422,126,20250701,2025-07-01,2025-07-01,1481493.53,1481493.53,Paid,Good Payer,0,0,41058967.54999999
79,19,100000273,422,126,20250801,2025-08-01,2025-08-01,1481493.53,1481493.53,Paid,Good Payer,0,0,39577474.01999999
80,19,100000273,422,126,20250901,2025-09-01,2025-09-01,1481493.53,1481493.53,Paid,Good Payer,0,0,38095980.48999999
81,19,100000273,422,126,20251001,2025-10-01,2025-10-01,1481493.53,1481493.53,Paid,Good Payer,0,0,36614486.959999986
82,19,100000273,422,126,20251101,2025-11-01,2025-11-01,1481493.53,1481493.53,Paid,Good Payer,0,0,35132993.429999985
83,19,100000273,422,126,20251201,2025-12-01,2025-12-01,1481493.53,1481493.53,Paid,Good Payer,0,0,33651499.89999998
84,19,100000273,422,126,20260101,2026-01-01,2026-01-01,1481493.53,1481493.53,Paid,Good Payer,0,0,32170006.369999982
85,19,100000273,422,126,20260201,2026-02-01,2026-02-01,1481493.53,1481493.53,Paid,Good Payer,0,0,30688512.83999998
86,19,100000273,422,126,20260301,2026-03-01,2026-03-01,1481493.53,1481493.53,Paid,Good Payer,0,0,29207019.30999998
87,19,100000273,422,126,20260401,2026-04-01,2026-04-01,1481493.53,1481493.53,Paid,Good Payer,0,0,27725525.77999998
88,19,100000273,422,126,20260501,2026-05-01,2026-05-01,1481493.53,1481493.53,Paid,Good Payer,0,0,26244032.249999978
89,19,100000273,422,126,20260601,2026-06-01,2026-06-01,1481493.53,1481493.53,Paid,Good Payer,0,0,24762538.719999976
90,20,100000301,468,5,20250122,2025-01-22,2025-02-05,32211279.89,32211279.89,Late,Average Payer,0,14,345214812.03000003
91,20,100000301,468,5,20250222,2025-02-22,2025-02-22,32211279.89,32211279.89,Paid,Average Payer,0,0,313003532.14000005
92,20,100000301,468,5,20250322,2025-03-22,2025-03-22,32211279.89,32211279.89,Paid,Average Payer,0,0,280792252.25000006
93,20,100000301,468,5,20250422,2025-04-22,2025-04-22,32211279.89,32211279.89,Paid,Average Payer,0,0,248580972.36000007
94,20,100000301,468,5,20250522,2025-05-22,2025-05-22,32211279.89,32211279.89,Paid,Average Payer,0,0,216369692.4700001
95,20,100000301,468,5,20250622,2025-06-22,2025-06-22,32211279.89,32211279.89,Paid,Average Payer,0,0,184158412.5800001
96,20,100000301,468,5,20250722,2025-07-22,,32211279.89,0.0,Missed,Average Payer,1,61,184158412.5800001
97,20,100000301,468,5,20250822,2025-08-22,2025-08-22,32211279.89,32211279.89,Paid,Average Payer,0,0,151947132.69000012
98,20,100000301,468,5,20250922,2025-09-22,2025-09-22,32211279.89,32211279.89,Paid,Average Payer,0,0,119735852.80000012
99,20,100000301,468,5,20251022,2025-10-22,2025-10-28,32211279.89,32211279.89,Late,Average Payer,0,6,87524572.91000012
100,20,100000301,468,5,20251122,2025-11-22,2025-11-22,32211279.89,13908519.77,Partial,Average Payer,0,0,73616053.14000012
101,20,100000301,468,5,20251222,2025-12-22,2025-12-22,32211279.89,23823296.71,Partial,Average Payer,0,0,49792756.43000012
102,20,100000301,468,5,20260122,2026-01-22,2026-01-22,32211279.89,32211279.89,Paid,High Risk,0,0,17581476.54000012
103,20,100000301,468,5,20260222,2026-02-22,2026-02-22,32211279.89,17581476.54000012,Paid,High Risk,0,0,0.0
104,21,100000316,493,94,20260417,2026-04-17,2026-04-17,213627.43,213627.43,Paid,Good Payer,0,0,181581.36
105,21,100000316,493,94,20260517,2026-05-17,2026-05-17,213627.43,181581.36,Paid,Good Payer,0,0,0.0
106,22,100000321,502,67,20251013,2025-10-13,2025-10-13,895883.74,895883.74,Paid,Good Payer,0,0,28419284.6
107,22,100000321,502,67,20251113,2025-11-13,2025-11-13,895883.74,895883.74,Paid,Good Payer,0,0,27523400.860000003
108,22,100000321,502,67,20251213,2025-12-13,2025-12-13,895883.74,895883.74,Paid,Good Payer,0,0,26627517.120000005
109,22,100000321,502,67,20260113,2026-01-13,2026-01-13,895883.74,895883.74,Paid,Good Payer,0,0,25731633.380000006
110,22,100000321,502,67,20260213,2026-02-13,2026-02-13,895883.74,895883.74,Paid,Good Payer,0,0,24835749.640000008
111,22,100000321,502,67,20260313,2026-03-13,2026-03-13,895883.74,895883.74,Paid,Good Payer,0,0,23939865.90000001
112,22,100000321,502,67,20260413,2026-04-13,2026-04-13,895883.74,895883.74,Paid,Good Payer,0,0,23043982.16000001
113,22,100000321,502,67,20260513,2026-05-13,2026-05-13,895883.74,895883.74,Paid,Good Payer,0,0,22148098.420000013
114,22,100000321,502,67,20260613,2026-06-13,2026-06-13,895883.74,895883.74,Paid,Good Payer,0,0,21252214.680000015
115,23,100000322,504,97,20250127,2025-01-27,2025-02-03,355517.54,355517.54,Late,Average Payer,0,7,5062443.82
116,23,100000322,504,97,20250227,2025-02-27,2025-02-27,355517.54,355517.54,Paid,Average Payer,0,0,4706926.28
117,23,100000322,504,97,20250327,2025-03-27,2025-03-27,355517.54,355517.54,Paid,Average Payer,0,0,4351408.74
118,23,100000322,504,97,20250427,2025-04-27,2025-04-27,355517.54,355517.54,Paid,Average Payer,0,0,3995891.2
119,23,100000322,504,97,20250527,2025-05-27,2025-05-27,355517.54,355517.54,Paid,Average Payer,0,0,3640373.66
120,23,100000322,504,97,20250627,2025-06-27,2025-06-27,355517.54,355517.54,Paid,Average Payer,0,0,3284856.12
121,23,100000322,504,97,20250727,2025-07-27,2025-07-27,355517.54,355517.54,Paid,Average Payer,0,0,2929338.58
122,23,100000322,504,97,20250827,2025-08-27,2025-09-08,355517.54,355517.54,Late,Average Payer,0,12,2573821.04
123,23,100000322,504,97,20250927,2025-09-27,2025-09-27,355517.54,355517.54,Paid,Average Payer,0,0,2218303.5
124,23,100000322,504,97,20251027,2025-10-27,2025-10-27,355517.54,355517.54,Paid,Average Payer,0,0,1862785.96
125,23,100000322,504,97,20251127,2025-11-27,2025-11-27,355517.54,355517.54,Paid,Average Payer,0,0,1507268.42
126,23,100000322,504,97,20251227,2025-12-27,2025-12-27,355517.54,355517.54,Paid,Average Payer,0,0,1151750.88
127,23,100000322,504,97,20260127,2026-01-27,2026-01-27,355517.54,355517.54,Paid,Average Payer,0,0,796233.3399999999
128,23,100000322,504,97,20260227,2026-02-27,2026-02-27,355517.54,355517.54,Paid,Average Payer,0,0,440715.7999999999
129,23,100000322,504,97,20260327,2026-03-27,2026-03-27,355517.54,355517.54,Paid,Average Payer,0,0,85198.2599999999
130,23,100000322,504,97,20260427,2026-04-27,,355517.54,0.0,Missed,Average Payer,1,50,85198.2599999999
131,23,100000322,504,97,20260527,2026-05-27,2026-06-05,355517.54,85198.2599999999,Late,Average Payer,0,9,0.0
132,26,100000372,582,2,20260326,2026-03-26,2026-03-26,556945.54,556945.54,Paid,Average Payer,0,0,1037680.23
133,26,100000372,582,2,20260426,2026-04-26,2026-05-05,556945.54,556945.54,Late,Average Payer,0,9,480734.68999999994
134,26,100000372,582,2,20260526,2026-05-26,2026-05-26,556945.54,480734.68999999994,Paid,Average Payer,0,0,0.0
135,28,100000437,680,7,20260619,2026-06-19,2026-06-19,24628120.27,24628120.27,Paid,Good Payer,0,0,320562338.21000004
136,29,100000476,742,149,20251004,2025-10-04,2025-10-04,741638.23,741638.23,Paid,Good Payer,0,0,8282037.6899999995
137,29,100000476,742,149,20251104,2025-11-04,2025-11-04,741638.23,741638.23,Paid,Good Payer,0,0,7540399.459999999
138,29,100000476,742,149,20251204,2025-12-04,2025-12-04,741638.23,741638.23,Paid,Good Payer,0,0,6798761.229999999
139,29,100000476,742,149,20260104,2026-01-04,2026-01-04,741638.23,741638.23,Paid,Good Payer,0,0,6057122.999999998
140,29,100000476,742,149,20260204,2026-02-04,2026-02-04,741638.23,741638.23,Paid,Good Payer,0,0,5315484.769999998
141,29,100000476,742,149,20260304,2026-03-04,2026-03-04,741638.23,741638.23,Paid,Good Payer,0,0,4573846.539999997
142,29,100000476,742,149,20260404,2026-04-04,2026-04-04,741638.23,741638.23,Paid,Good Payer,0,0,3832208.3099999973
143,29,100000476,742,149,20260504,2026-05-04,2026-05-04,741638.23,741638.23,Paid,Good Payer,0,0,3090570.0799999973
144,29,100000476,742,149,20260604,2026-06-04,2026-06-04,741638.23,741638.23,Paid,Good Payer,0,0,2348931.8499999973
145,30,100000495,772,55,20260213,2026-02-13,2026-02-13,201068.33,201068.33,Paid,Good Payer,0,0,720802.03
146,30,100000495,772,55,20260313,2026-03-13,2026-03-13,201068.33,201068.33,Paid,Good Payer,0,0,519733.70000000007
147,30,100000495,772,55,20260413,2026-04-13,2026-04-13,201068.33,201068.33,Paid,Good Payer,0,0,318665.3700000001
148,30,100000495,772,55,20260513,2026-05-13,2026-05-13,201068.33,201068.33,Paid,Good Payer,0,0,117597.04000000012
149,30,100000495,772,55,20260613,2026-06-13,,201068.33,0.0,Missed,Good Payer,1,56,117597.04000000012
150,31,100000496,774,39,20251022,2025-10-22,2025-10-22,53073.91,53073.91,Paid,Average Payer,0,0,378149.06999999995
151,31,100000496,774,39,20251122,2025-11-22,2025-11-22,53073.91,53073.91,Paid,Average Payer,0,0,325075.1599999999
152,31,100000496,774,39,20251222,2025-12-22,2025-12-22,53073.91,53073.91,Paid,Average Payer,0,0,272001.2499999999
153,31,100000496,774,39,20260122,2026-01-22,2026-01-22,53073.91,53073.91,Paid,Average Payer,0,0,218927.33999999988
154,31,100000496,774,39,20260222,2026-02-22,2026-02-22,53073.91,53073.91,Paid,Average Payer,0,0,165853.42999999988
155,31,100000496,774,39,20260322,2026-03-22,2026-03-22,53073.91,53073.91,Paid,Average Payer,0,0,112779.51999999987
156,31,100000496,774,39,20260422,2026-04-22,,53073.91,0.0,Missed,Average Payer,1,67,112779.51999999987
157,31,100000496,774,39,20260522,2026-05-22,2026-05-22,53073.91,53073.91,Paid,Average Payer,0,0,59705.60999999987
158,31,100000496,774,39,20260622,2026-06-22,2026-07-05,53073.91,53073.91,Late,Average Payer,0,13,6631.699999999866
159,32,100000521,811,76,20250905,2025-09-05,2025-09-05,404136.38,404136.38,Paid,Good Payer,0,0,12847299.34
160,32,100000521,811,76,20251005,2025-10-05,2025-10-05,404136.38,404136.38,Paid,Good Payer,0,0,12443162.959999999
161,32,100000521,811,76,20251105,2025-11-05,2025-11-05,404136.38,404136.38,Paid,Average Payer,0,0,12039026.579999998
162,32,100000521,811,76,20251205,2025-12-05,2025-12-05,404136.38,404136.38,Paid,Average Payer,0,0,11634890.199999997
163,32,100000521,811,76,20260105,2026-01-05,2026-01-13,404136.38,404136.38,Late,Average Payer,0,8,11230753.819999997
164,32,100000521,811,76,20260205,2026-02-05,2026-02-05,404136.38,404136.38,Paid,Average Payer,0,0,10826617.439999996
165,32,100000521,811,76,20260305,2026-03-05,2026-03-05,404136.38,404136.38,Paid,Average Payer,0,0,10422481.059999995
166,32,100000521,811,76,20260405,2026-04-05,2026-04-05,404136.38,404136.38,Paid,High Risk,0,0,10018344.679999994
167,32,100000521,811,76,20260505,2026-05-05,,404136.38,0.0,Missed,High Risk,1,29,10018344.679999994
168,32,100000521,811,76,20260605,2026-06-05,2026-06-05,404136.38,404136.38,Paid,High Risk,0,0,9614208.299999993
169,35,100000564,883,2,20231025,2023-10-25,2023-10-25,70314.99,70314.99,Paid,Good Payer,0,0,13506399.83
170,35,100000564,883,2,20231125,2023-11-25,2023-11-25,70314.99,58904.71,Partial,Good Payer,0,0,13447495.12
171,35,100000564,883,2,20231225,2023-12-25,2023-12-25,70314.99,70314.99,Paid,Good Payer,0,0,13377180.129999999
172,35,100000564,883,2,20240125,2024-01-25,2024-01-25,70314.99,70314.99,Paid,Good Payer,0,0,13306865.139999999
173,35,100000564,883,2,20240225,2024-02-25,2024-02-25,70314.99,70314.99,Paid,Good Payer,0,0,13236550.149999999
174,35,100000564,883,2,20240325,2024-03-25,2024-03-25,70314.99,70314.99,Paid,Good Payer,0,0,13166235.159999998
175,35,100000564,883,2,20240425,2024-04-25,2024-05-07,70314.99,70314.99,Late,Good Payer,0,12,13095920.169999998
176,35,100000564,883,2,20240525,2024-05-25,2024-05-25,70314.99,70314.99,Paid,Good Payer,0,0,13025605.179999998
177,35,100000564,883,2,20240625,2024-06-25,2024-06-25,70314.99,70314.99,Paid,Good Payer,0,0,12955290.189999998
178,35,100000564,883,2,20240725,2024-07-25,2024-07-25,70314.99,70314.99,Paid,Good Payer,0,0,12884975.199999997
179,35,100000564,883,2,20240825,2024-08-25,2024-08-25,70314.99,70314.99,Paid,Good Payer,0,0,12814660.209999997
180,35,100000564,883,2,20240925,2024-09-25,2024-09-25,70314.99,70314.99,Paid,Good Payer,0,0,12744345.219999997
181,35,100000564,883,2,20241025,2024-10-25,2024-10-25,70314.99,70314.99,Paid,Good Payer,0,0,12674030.229999997
182,35,100000564,883,2,20241125,2024-11-25,2024-11-25,70314.99,70314.99,Paid,Good Payer,0,0,12603715.239999996
183,35,100000564,883,2,20241225,2024-12-25,2024-12-25,70314.99,70314.99,Paid,Good Payer,0,0,12533400.249999996
184,35,100000564,883,2,20250125,2025-01-25,2025-01-25,70314.99,70314.99,Paid,Good Payer,0,0,12463085.259999996
185,35,100000564,883,2,20250225,2025-02-25,2025-02-25,70314.99,70314.99,Paid,Good Payer,0,0,12392770.269999996
186,35,100000564,883,2,20250325,2025-03-25,,70314.99,0.0,Missed,Good Payer,1,63,12392770.269999996
187,35,100000564,883,2,20250425,2025-04-25,2025-04-25,70314.99,70314.99,Paid,Good Payer,0,0,12322455.279999996
188,35,100000564,883,2,20250525,2025-05-25,2025-05-25,70314.99,70314.99,Paid,Good Payer,0,0,12252140.289999995
189,35,100000564,883,2,20250625,2025-06-25,2025-06-25,70314.99,70314.99,Paid,Good Payer,0,0,12181825.299999995
190,35,100000564,883,2,20250725,2025-07-25,2025-07-25,70314.99,70314.99,Paid,Good Payer,0,0,12111510.309999995
191,35,100000564,883,2,20250825,2025-08-25,2025-08-25,70314.99,70314.99,Paid,Good Payer,0,0,12041195.319999995
192,35,100000564,883,2,20250925,2025-09-25,2025-09-25,70314.99,70314.99,Paid,Good Payer,0,0,11970880.329999994
193,35,100000564,883,2,20251025,2025-10-25,2025-10-25,70314.99,70314.99,Paid,Good Payer,0,0,11900565.339999994
194,35,100000564,883,2,20251125,2025-11-25,,70314.99,0.0,Missed,Good Payer,1,58,11900565.339999994
195,35,100000564,883,2,20251225,2025-12-25,2025-12-25,70314.99,70314.99,Paid,Good Payer,0,0,11830250.349999994
196,35,100000564,883,2,20260125,2026-01-25,2026-01-25,70314.99,70314.99,Paid,Good Payer,0,0,11759935.359999994
197,35,100000564,883,2,20260225,2026-02-25,2026-02-25,70314.99,70314.99,Paid,Good Payer,0,0,11689620.369999994
198,35,100000564,883,2,20260325,2026-03-25,2026-03-25,70314.99,70314.99,Paid,Good Payer,0,0,11619305.379999993
199,35,100000564,883,2,20260425,2026-04-25,2026-04-25,70314.99,70314.99,Paid,Good Payer,0,0,11548990.389999993
200,35,100000564,883,2,20260525,2026-05-25,2026-05-25,70314.99,70314.99,Paid,Good Payer,0,0,11478675.399999993
201,35,100000564,883,2,20260625,2026-06-25,2026-06-25,70314.99,70314.99,Paid,Good Payer,0,0,11408360.409999993
202,36,100000574,900,80,20260409,2026-04-09,2026-04-09,645041.2,645041.2,Paid,Good Payer,0,0,8934289.020000001
203,36,100000574,900,80,20260509,2026-05-09,2026-05-09,645041.2,645041.2,Paid,Good Payer,0,0,8289247.820000001
204,36,100000574,900,80,20260609,2026-06-09,2026-06-09,645041.2,645041.2,Paid,Good Payer,0,0,7644206.620000001
205,38,100000593,928,19,20250919,2025-09-19,2025-09-19,229836.39,229836.39,Paid,Good Payer,0,0,1967287.1
206,38,100000593,928,19,20251019,2025-10-19,2025-10-19,229836.39,229836.39,Paid,Good Payer,0,0,1737450.71
207,38,100000593,928,19,20251119,2025-11-19,2025-11-19,229836.39,229836.39,Paid,Good Payer,0,0,1507614.3199999998
208,38,100000593,928,19,20251219,2025-12-19,2025-12-19,229836.39,229836.39,Paid,Good Payer,0,0,1277777.9299999997
209,38,100000593,928,19,20260119,2026-01-19,2026-01-19,229836.39,229836.39,Paid,Good Payer,0,0,1047941.5399999997
210,38,100000593,928,19,20260219,2026-02-19,2026-02-19,229836.39,229836.39,Paid,Good Payer,0,0,818105.1499999997
211,38,100000593,928,19,20260319,2026-03-19,2026-03-19,229836.39,229836.39,Paid,Good Payer,0,0,588268.7599999997
212,38,100000593,928,19,20260419,2026-04-19,2026-04-19,229836.39,229836.39,Paid,Good Payer,0,0,358432.36999999965
213,38,100000593,928,19,20260519,2026-05-19,2026-05-19,229836.39,229836.39,Paid,Good Payer,0,0,128595.97999999963
214,38,100000593,928,19,20260619,2026-06-19,2026-06-19,229836.39,128595.97999999963,Paid,Average Payer,0,0,0.0
215,39,100000595,930,132,20240723,2024-07-23,2024-07-23,829955.3,829955.3,Paid,Good Payer,0,0,22903252.599999998
216,39,100000595,930,132,20240823,2024-08-23,2024-08-23,829955.3,829955.3,Paid,Good Payer,0,0,22073297.299999997
217,39,100000595,930,132,20240923,2024-09-23,2024-09-23,829955.3,829955.3,Paid,Good Payer,0,0,21243341.999999996
218,39,100000595,930,132,20241023,2024-10-23,2024-10-23,829955.3,829955.3,Paid,Good Payer,0,0,20413386.699999996
219,39,100000595,930,132,20241123,2024-11-23,2024-11-23,829955.3,829955.3,Paid,Good Payer,0,0,19583431.399999995
220,39,100000595,930,132,20241223,2024-12-23,2024-12-23,829955.3,829955.3,Paid,Good Payer,0,0,18753476.099999994
221,39,100000595,930,132,20250123,2025-01-23,2025-01-23,829955.3,662516.29,Partial,Good Payer,0,0,18090959.809999995
222,39,100000595,930,132,20250223,2025-02-23,2025-02-23,829955.3,829955.3,Paid,Good Payer,0,0,17261004.509999994
